model,sequence_id,length,aa_L1_divergence,kmer3_JSD,kmer5_JSD,shannon_entropy,hydrophobicity,net_charge,molecular_weight,repetitive_content,low_complexity_fraction,motif_VAIK,motif_HRD,motif_DFG,motif_APE,motif_GxGxxG
fnet,seq_00001,472,0.4363586546784687,0.861517324948401,0.999227806562215,4.290316200951023,-0.6641949152542372,0.0635593220338983,66138,0.002127659574468085,0.0,0,0,0,0,0
fnet,seq_00002,470,0.4062106295645644,0.8568604821606025,0.9992584250965733,4.293165239116574,-0.5908510638297872,0.04468085106382979,64055,0.0,0.0,0,0,0,0,0
fnet,seq_00003,470,0.4265542614681106,0.8660483891041904,0.9993457997550674,4.295624839493589,-0.46382978723404256,0.03404255319148936,65172,0.0,0.0,0,0,0,0,0
fnet,seq_00004,472,0.30189456342668863,0.8400213688830886,0.9992640093697428,4.279145435582215,-0.8158898305084745,0.029661016949152543,63760,0.0,0.0,0,0,0,0,0
fnet,seq_00005,470,0.35413000806197203,0.8566498988484518,0.9991847291501885,4.300795060013372,-0.4102127659574468,0.029787234042553193,63303,0.0,0.0,0,0,0,0,0
fnet,seq_00006,472,0.4176049898081702,0.8593451962041023,0.999111999521986,4.2985342053552,-0.4658898305084746,0.06779661016949153,65317,0.002127659574468085,0.0,0,0,1,0,0
fnet,seq_00007,474,0.3877589252588546,0.8546117778733046,0.9992958207513316,4.290981139250029,-0.5835443037974684,0.06118143459915612,65239,0.00211864406779661,0.0,0,0,0,0,0
fnet,seq_00008,473,0.3380315128224488,0.8477720926954275,0.9992229385710744,4.2711078549336525,-0.5158562367864693,0.02748414376321353,64473,0.0,0.0,0,0,0,0,0
fnet,seq_00009,471,0.45890973061710083,0.8643612992103425,0.9992345074886734,4.284498785796577,-0.6390658174097664,0.05732484076433121,64702,0.008528784648187633,0.0,0,0,0,0,0
fnet,seq_00010,473,0.3515455827661055,0.8398111263051953,0.9990895057601028,4.2732945133414475,-0.7120507399577166,0.02959830866807611,64586,0.0021231422505307855,0.0,0,0,1,0,0
fnet,seq_00011,472,0.38057583838271014,0.8517109385051649,0.9993006029046861,4.279357532440281,-0.6379237288135594,0.1016949152542373,63900,0.0,0.0,0,0,0,0,0
fnet,seq_00012,472,0.3945669170412978,0.8571528865364736,0.9993492825554882,4.296393054214355,-0.3353813559322034,0.0423728813559322,65492,0.0,0.0,0,0,0,1,0
