seq_id,generation_time_sec,avg_token_latency_ms,throughput_tokens_per_sec,sequence_length,self_perplexity,posthoc_perplexity,memory_usage_mb,seed,temperature,top_k,top_p,batch_size,num_iterations
seq_00001,0.0693,1.681,7362.58,510,19.2949,1.7568,50.76,42,1.0,0,1.0,1,40
seq_00002,0.0675,1.638,7551.33,510,19.4039,1.7429,50.76,42,1.0,0,1.0,1,40
seq_00003,0.0688,1.667,7415.59,510,18.1367,1.7668,50.76,42,1.0,0,1.0,1,40
seq_00004,0.0687,1.665,7422.75,510,19.3778,1.6998,50.76,42,1.0,0,1.0,1,40
seq_00005,0.068,1.65,7499.07,510,17.189,1.767,50.76,42,1.0,0,1.0,1,40
seq_00006,0.0676,1.639,7548.74,510,18.179,1.7172,50.76,42,1.0,0,1.0,1,40
seq_00007,0.0674,1.635,7568.24,510,18.4475,1.7213,50.76,42,1.0,0,1.0,1,40
seq_00008,0.0674,1.635,7564.39,510,19.9825,1.775,50.76,42,1.0,0,1.0,1,40
seq_00009,0.0675,1.638,7555.25,510,18.8289,1.7487,50.76,42,1.0,0,1.0,1,40
seq_00010,0.0677,1.642,7532.58,510,19.337,1.7137,50.76,42,1.0,0,1.0,1,40
seq_00011,0.0677,1.642,7532.82,510,18.2445,1.7295,50.76,42,1.0,0,1.0,1,40
seq_00012,0.0674,1.635,7570.14,510,18.7924,1.7281,50.76,42,1.0,0,1.0,1,40
seq_00013,0.0675,1.638,7550.02,510,18.1474,1.7226,50.76,42,1.0,0,1.0,1,40
seq_00014,0.0674,1.635,7569.28,510,18.0028,1.752,50.76,42,1.0,0,1.0,1,40
seq_00015,0.0676,1.64,7542.44,510,18.4542,1.7223,50.76,42,1.0,0,1.0,1,40
seq_00016,0.0674,1.635,7566.02,510,19.7495,1.7421,50.76,42,1.0,0,1.0,1,40
seq_00017,0.0676,1.639,7547.09,510,16.7818,1.7226,50.76,42,1.0,0,1.0,1,40
seq_00018,0.0677,1.643,7532.79,510,18.8296,1.7255,50.76,42,1.0,0,1.0,1,40
seq_00019,0.0678,1.644,7526.41,510,18.1126,1.6962,50.76,42,1.0,0,1.0,1,40
seq_00020,0.0675,1.639,7551.52,510,18.9586,1.7581,50.76,42,1.0,0,1.0,1,40
seq_00021,0.0674,1.636,7565.97,510,17.147,1.7105,50.76,42,1.0,0,1.0,1,40
seq_00022,0.0674,1.637,7562.17,510,18.7362,1.7285,50.76,42,1.0,0,1.0,1,40
seq_00023,0.0676,1.64,7547.68,510,18.067,1.7262,50.76,42,1.0,0,1.0,1,40
seq_00024,0.0675,1.639,7551.94,510,16.1864,1.7679,50.76,42,1.0,0,1.0,1,40
seq_00025,0.0677,1.642,7535.5,510,16.7292,1.7483,50.76,42,1.0,0,1.0,1,40
seq_00026,0.0675,1.637,7560.96,510,18.1855,1.7286,50.76,42,1.0,0,1.0,1,40
seq_00027,0.0675,1.639,7553.01,510,18.3838,1.7497,50.76,42,1.0,0,1.0,1,40
seq_00028,0.0675,1.639,7555.36,510,20.7421,1.7362,50.76,42,1.0,0,1.0,1,40
seq_00029,0.0678,1.644,7526.86,510,17.2418,1.7482,50.76,42,1.0,0,1.0,1,40
seq_00030,0.0673,1.634,7572.61,510,18.3613,1.7704,50.76,42,1.0,0,1.0,1,40
seq_00031,0.0677,1.642,7536.06,510,19.3158,1.7229,50.76,42,1.0,0,1.0,1,40
seq_00032,0.068,1.65,7498.39,510,16.727,1.714,50.76,42,1.0,0,1.0,1,40
seq_00033,0.0677,1.643,7531.79,510,17.8399,1.7235,50.76,42,1.0,0,1.0,1,40
seq_00034,0.0673,1.634,7574.4,510,17.3712,1.8203,50.76,42,1.0,0,1.0,1,40
seq_00035,0.0676,1.64,7545.87,510,22.68,1.7368,50.76,42,1.0,0,1.0,1,40
seq_00036,0.0679,1.647,7512.37,510,20.5141,1.6959,50.76,42,1.0,0,1.0,1,40
seq_00037,0.0675,1.638,7555.57,510,17.7508,1.6998,50.76,42,1.0,0,1.0,1,40
seq_00038,0.0676,1.64,7545.36,510,17.8289,1.772,50.76,42,1.0,0,1.0,1,40
seq_00039,0.0675,1.638,7554.45,510,17.3416,1.7032,50.76,42,1.0,0,1.0,1,40
seq_00040,0.0675,1.637,7558.32,510,17.8107,1.7314,50.76,42,1.0,0,1.0,1,40
seq_00041,0.0677,1.642,7538.61,510,18.6772,1.7259,50.76,42,1.0,0,1.0,1,40
seq_00042,0.0684,1.659,7458.7,510,17.3223,1.7721,50.76,42,1.0,0,1.0,1,40
seq_00043,0.0679,1.647,7512.34,510,16.1623,1.7088,50.76,42,1.0,0,1.0,1,40
seq_00044,0.0675,1.636,7561.12,510,19.4403,1.7638,50.76,42,1.0,0,1.0,1,40
seq_00045,0.0677,1.643,7530.75,510,18.2969,1.7228,50.76,42,1.0,0,1.0,1,40
seq_00046,0.0674,1.636,7565.59,510,20.281,1.7104,50.76,42,1.0,0,1.0,1,40
seq_00047,0.0677,1.643,7533.67,510,18.3457,1.7788,50.76,42,1.0,0,1.0,1,40
seq_00048,0.0675,1.639,7551.06,510,17.1471,1.7397,50.76,42,1.0,0,1.0,1,40
seq_00049,0.0675,1.639,7551.49,510,16.3048,1.7193,50.76,42,1.0,0,1.0,1,40
seq_00050,0.0678,1.644,7525.88,510,18.6174,1.751,50.76,42,1.0,0,1.0,1,40
seq_00051,0.0678,1.645,7524.82,510,16.1347,1.689,50.76,42,1.0,0,1.0,1,40
seq_00052,0.0675,1.638,7552.77,510,19.4217,1.7302,50.76,42,1.0,0,1.0,1,40
seq_00053,0.0675,1.638,7558.75,510,17.8371,1.6964,50.76,42,1.0,0,1.0,1,40
seq_00054,0.0675,1.637,7558.69,510,22.4448,1.757,50.76,42,1.0,0,1.0,1,40
seq_00055,0.0676,1.64,7546.67,510,18.0707,1.7137,50.76,42,1.0,0,1.0,1,40
seq_00056,0.0675,1.638,7551.44,510,19.1274,1.7592,50.76,42,1.0,0,1.0,1,40
seq_00057,0.0675,1.637,7557.62,510,19.4895,1.7139,50.76,42,1.0,0,1.0,1,40
seq_00058,0.0675,1.637,7559.57,510,18.6742,1.7547,50.76,42,1.0,0,1.0,1,40
seq_00059,0.0676,1.642,7539.03,510,19.2602,1.7205,50.76,42,1.0,0,1.0,1,40
seq_00060,0.0675,1.637,7559.41,510,17.6024,1.7428,50.76,42,1.0,0,1.0,1,40
seq_00061,0.0676,1.641,7543.9,510,17.3999,1.7436,50.76,42,1.0,0,1.0,1,40
seq_00062,0.0674,1.637,7562.97,510,19.7111,1.719,50.76,42,1.0,0,1.0,1,40
seq_00063,0.0676,1.639,7548.56,510,18.1566,1.7972,50.76,42,1.0,0,1.0,1,40
seq_00064,0.0674,1.636,7566.55,510,19.4104,1.7898,50.76,42,1.0,0,1.0,1,40
seq_00065,0.0675,1.638,7556.29,510,18.5219,1.7418,50.76,42,1.0,0,1.0,1,40
seq_00066,0.0676,1.639,7548.42,510,18.5191,1.7126,50.76,42,1.0,0,1.0,1,40
