seq_id,generation_time_sec,avg_token_latency_ms,throughput_tokens_per_sec,sequence_length,self_perplexity,posthoc_perplexity,memory_usage_mb,seed,temperature,top_k,top_p,batch_size,num_iterations
seq_00001,0.0709,1.727,7192.58,510,19.2949,1.7568,85.14,42,1.0,0,1.0,1,40
seq_00002,0.0706,1.72,7224.16,510,19.4039,1.7429,85.14,42,1.0,0,1.0,1,40
seq_00003,0.0705,1.719,7228.99,510,18.1367,1.7668,85.14,42,1.0,0,1.0,1,40
seq_00004,0.0702,1.71,7266.39,510,19.3778,1.6998,85.14,42,1.0,0,1.0,1,40
seq_00005,0.0703,1.712,7258.45,510,17.189,1.767,85.14,42,1.0,0,1.0,1,40
seq_00006,0.0704,1.716,7242.11,510,18.179,1.7172,85.14,42,1.0,0,1.0,1,40
seq_00007,0.0702,1.711,7265.8,510,18.4475,1.7213,85.14,42,1.0,0,1.0,1,40
seq_00008,0.0702,1.709,7267.97,510,19.9825,1.775,85.14,42,1.0,0,1.0,1,40
seq_00009,0.0708,1.725,7205.66,510,18.8289,1.7487,85.14,42,1.0,0,1.0,1,40
seq_00010,0.0702,1.71,7267.82,510,19.337,1.7137,85.14,42,1.0,0,1.0,1,40
seq_00011,0.0702,1.71,7263.58,510,18.2445,1.7295,85.14,42,1.0,0,1.0,1,40
seq_00012,0.0702,1.71,7266.69,510,18.7924,1.7281,85.14,42,1.0,0,1.0,1,40
seq_00013,0.0703,1.712,7258.45,510,18.1474,1.7226,85.14,42,1.0,0,1.0,1,40
seq_00014,0.07,1.706,7284.06,510,18.0028,1.752,85.14,42,1.0,0,1.0,1,40
seq_00015,0.0704,1.715,7245.42,510,18.4542,1.7223,85.14,42,1.0,0,1.0,1,40
seq_00016,0.0706,1.719,7224.55,510,19.7495,1.7421,85.14,42,1.0,0,1.0,1,40
seq_00017,0.0702,1.711,7264.39,510,16.7818,1.7226,85.14,42,1.0,0,1.0,1,40
seq_00018,0.0702,1.711,7265.95,510,18.8296,1.7255,85.14,42,1.0,0,1.0,1,40
seq_00019,0.0707,1.722,7215.48,510,18.1126,1.6962,85.14,42,1.0,0,1.0,1,40
seq_00020,0.0701,1.708,7274.79,510,18.9586,1.7581,85.14,42,1.0,0,1.0,1,40
seq_00021,0.0703,1.714,7251.88,510,17.147,1.7105,85.14,42,1.0,0,1.0,1,40
seq_00022,0.0705,1.718,7231.68,510,18.7362,1.7285,85.14,42,1.0,0,1.0,1,40
seq_00023,0.0703,1.713,7254.61,510,18.067,1.7262,85.14,42,1.0,0,1.0,1,40
seq_00024,0.07,1.707,7283.66,510,16.1864,1.7679,85.14,42,1.0,0,1.0,1,40
seq_00025,0.0704,1.717,7242.11,510,16.7292,1.7483,85.14,42,1.0,0,1.0,1,40
seq_00026,0.0702,1.711,7261.66,510,18.1855,1.7286,85.14,42,1.0,0,1.0,1,40
seq_00027,0.0705,1.717,7235.33,510,18.3838,1.7497,85.14,42,1.0,0,1.0,1,40
seq_00028,0.0701,1.71,7270.29,510,20.7421,1.7362,85.14,42,1.0,0,1.0,1,40
seq_00029,0.0704,1.715,7246.55,510,17.2418,1.7482,85.14,42,1.0,0,1.0,1,40
seq_00030,0.0701,1.707,7277.29,510,18.3613,1.7704,85.14,42,1.0,0,1.0,1,40
seq_00031,0.0704,1.716,7241.74,510,19.3158,1.7229,85.14,42,1.0,0,1.0,1,40
seq_00032,0.0702,1.709,7269.33,510,16.727,1.714,85.14,42,1.0,0,1.0,1,40
seq_00033,0.0706,1.719,7228.55,510,17.8399,1.7235,85.14,42,1.0,0,1.0,1,40
seq_00034,0.0702,1.711,7262.35,510,17.3712,1.8203,85.14,42,1.0,0,1.0,1,40
seq_00035,0.0706,1.721,7219.96,510,22.68,1.7368,85.14,42,1.0,0,1.0,1,40
seq_00036,0.0719,1.751,7090.12,510,20.5141,1.6959,85.14,42,1.0,0,1.0,1,40
seq_00037,0.0704,1.717,7239.37,510,17.7508,1.6998,85.14,42,1.0,0,1.0,1,40
seq_00038,0.0702,1.71,7268.49,510,17.8289,1.772,85.14,42,1.0,0,1.0,1,40
seq_00039,0.0705,1.718,7233.2,510,17.3415,1.7032,85.14,42,1.0,0,1.0,1,40
seq_00040,0.0701,1.709,7274.87,510,17.8107,1.7314,85.14,42,1.0,0,1.0,1,40
seq_00041,0.0705,1.718,7233.88,510,18.6772,1.7259,85.14,42,1.0,0,1.0,1,40
seq_00042,0.0702,1.71,7267.82,510,17.3223,1.7721,85.14,42,1.0,0,1.0,1,40
seq_00043,0.0704,1.714,7246.23,510,16.1623,1.7089,85.14,42,1.0,0,1.0,1,40
seq_00044,0.0701,1.708,7275.66,510,19.4403,1.7638,85.14,42,1.0,0,1.0,1,40
seq_00045,0.0704,1.715,7247.53,510,18.2969,1.7228,85.14,42,1.0,0,1.0,1,40
seq_00046,0.0701,1.709,7273.85,510,20.281,1.7104,85.14,42,1.0,0,1.0,1,40
seq_00047,0.071,1.731,7178.99,510,18.3457,1.7788,85.14,42,1.0,0,1.0,1,40
seq_00048,0.0706,1.72,7228.65,510,17.1471,1.7397,85.14,42,1.0,0,1.0,1,40
seq_00049,0.0704,1.715,7248.86,510,16.3048,1.7193,85.14,42,1.0,0,1.0,1,40
seq_00050,0.07,1.707,7281.08,510,18.6174,1.751,85.14,42,1.0,0,1.0,1,40
seq_00051,0.0705,1.717,7239.02,510,16.1347,1.689,85.14,42,1.0,0,1.0,1,40
seq_00052,0.0701,1.709,7274.94,510,19.4217,1.7302,85.14,42,1.0,0,1.0,1,40
seq_00053,0.0702,1.711,7261.09,510,17.8371,1.6964,85.14,42,1.0,0,1.0,1,40
seq_00054,0.0702,1.711,7260.13,510,22.4448,1.757,85.14,42,1.0,0,1.0,1,40
seq_00055,0.0702,1.711,7265.31,510,18.0707,1.7137,85.14,42,1.0,0,1.0,1,40
seq_00056,0.0701,1.709,7270.91,510,19.1274,1.7592,85.14,42,1.0,0,1.0,1,40
seq_00057,0.0703,1.713,7254.19,510,19.4895,1.7139,85.14,42,1.0,0,1.0,1,40
seq_00058,0.0701,1.709,7274.2,510,18.6742,1.7547,85.14,42,1.0,0,1.0,1,40
seq_00059,0.0702,1.712,7260.08,510,19.2602,1.7205,85.14,42,1.0,0,1.0,1,40
seq_00060,0.0706,1.722,7218.89,510,17.6024,1.7428,85.14,42,1.0,0,1.0,1,40
seq_00061,0.0705,1.718,7233.91,510,17.3999,1.7436,85.14,42,1.0,0,1.0,1,40
seq_00062,0.0701,1.709,7273.01,510,19.7111,1.719,85.14,42,1.0,0,1.0,1,40
seq_00063,0.0705,1.717,7236.67,510,18.1566,1.7972,85.14,42,1.0,0,1.0,1,40
seq_00064,0.0702,1.711,7267.63,510,19.4104,1.7898,85.14,42,1.0,0,1.0,1,40
seq_00065,0.0702,1.712,7261.66,510,18.5219,1.7418,85.14,42,1.0,0,1.0,1,40
seq_00066,0.0701,1.709,7273.31,510,18.5191,1.7126,85.14,42,1.0,0,1.0,1,40
seq_00067,0.0705,1.719,7230.87,510,21.2795,1.7317,85.14,42,1.0,0,1.0,1,40
seq_00068,0.0702,1.712,7262.32,510,15.7991,1.7558,85.14,42,1.0,0,1.0,1,40
seq_00069,0.0703,1.713,7254.96,510,18.6783,1.7331,85.14,42,1.0,0,1.0,1,40
seq_00070,0.0702,1.711,7266.76,510,17.096,1.7393,85.14,42,1.0,0,1.0,1,40
seq_00071,0.0704,1.716,7246.04,510,17.2581,1.694,85.14,42,1.0,0,1.0,1,40
seq_00072,0.0701,1.708,7274.37,510,19.4759,1.7213,85.14,42,1.0,0,1.0,1,40
