model_run,avg_loss,perplexity
run_001_lr3e-05_wd0.01_bs1_ga4_len512,2.117116645765305,8.307150465292509
run_002_lr3e-05_wd0.01_bs1_ga8_len512,2.0296561253547667,7.611468517664962
run_003_lr3e-05_wd0.01_bs2_ga4_len512,1.9466873249530792,7.005442345840436
run_004_lr3e-05_wd0.01_bs2_ga8_len512,1.902976708316803,6.705826050445282
run_005_lr3e-05_wd0.05_bs1_ga4_len512,2.125601270723343,8.377933380071905
run_006_lr3e-05_wd0.05_bs1_ga8_len512,2.175254619598389,8.804426616380429
run_007_lr3e-05_wd0.05_bs2_ga4_len512,2.045009759235382,7.729233968955431
run_008_lr3e-05_wd0.05_bs2_ga8_len512,2.0371379596233368,7.668629832750576
run_009_lr5e-05_wd0.01_bs1_ga4_len512,2.050793567609787,7.77406790758401
run_010_lr5e-05_wd0.01_bs1_ga8_len512,1.936474357700348,6.934260102251981
run_011_lr5e-05_wd0.01_bs2_ga4_len512,1.8383832775592803,6.286366730807307
run_012_lr5e-05_wd0.01_bs2_ga8_len512,1.7880209008693695,5.977610468323236
run_013_lr5e-05_wd0.05_bs1_ga4_len512,1.7333438928842544,5.659547221898675
run_014_lr5e-05_wd0.05_bs1_ga8_len512,1.7085506037712097,5.520953626385776
run_015_lr5e-05_wd0.05_bs2_ga4_len512,1.960306250667572,7.101501571764703
run_016_lr5e-05_wd0.05_bs2_ga8_len512,2.146326904964447,8.553383237432383
run_017_lr7e-05_wd0.01_bs1_ga4_len512,1.924097680902481,6.848965924164065
run_018_lr7e-05_wd0.01_bs1_ga8_len512,1.828191230082512,6.222621183265514
run_019_lr7e-05_wd0.01_bs2_ga4_len512,1.8711975108146668,6.496070858464023
run_020_lr7e-05_wd0.01_bs2_ga8_len512,1.928038058423996,6.876006675934972
run_021_lr7e-05_wd0.05_bs1_ga4_len512,1.812149040198326,6.123593149670519
run_022_lr7e-05_wd0.05_bs1_ga8_len512,1.7461003982782364,5.732205715497535
run_023_lr7e-05_wd0.05_bs2_ga4_len512,1.6756287380218506,5.342152908039022
run_024_lr7e-05_wd0.05_bs2_ga8_len512,2.0971362170696257,8.142817229033847
run_next_001_lr8e-05_wd0.05_bs2_ga4_len512,2.0265386194229125,7.587776668339536
run_next_002_lr7e-05_wd0.03_bs2_ga4_len512,1.895524181318283,6.656036460332505
run_next_003_lr7e-05_wd0.05_bs4_ga2_len512,1.7844128083467483,5.956081559193231

