seq_id,generation_time_sec,avg_token_latency_ms,throughput_tokens_per_sec,sequence_length,self_perplexity,posthoc_perplexity,memory_usage_mb,seed,temperature,top_k,top_p,batch_size,num_iterations
seq_00001,0.1406,3.389,3641.77,472,4.8126,1356955136.0,456.6,42,1,0,1,1,40
seq_00002,0.1405,3.39,3643.63,470,4.096,651714048.0,456.6,42,1,0,1,1,40
seq_00003,0.1415,3.417,3618.63,470,4.0667,562069888.0,456.6,42,1,0,1,1,40
seq_00004,0.1405,3.394,3643.87,472,4.4736,581089920.0,456.6,42,1,0,1,1,40
seq_00005,0.1406,3.396,3640.51,470,5.115,1136619264.0,456.6,42,1,0,1,1,40
seq_00006,0.1409,3.402,3635.03,472,5.5785,1232614784.0,456.6,42,1,0,1,1,40
seq_00007,0.1411,3.403,3628.32,474,5.6837,2848416512.0,456.6,42,1,0,1,1,40
seq_00008,0.1413,3.411,3624.26,473,4.787,1127767552.0,456.6,42,1,0,1,1,40
seq_00009,0.1404,3.392,3645.78,471,5.2535,2124626688.0,456.6,42,1,0,1,1,40
seq_00010,0.1409,3.403,3632.94,473,5.0011,1611067520.0,456.6,42,1,0,1,1,40
seq_00011,0.1408,3.395,3637.08,472,5.5703,2198002176.0,456.6,42,1,0,1,1,40
seq_00012,0.1411,3.4,3628.52,472,4.8605,1282506368.0,456.6,42,1,0,1,1,40
seq_00013,0.1418,3.418,3609.46,470,4.9486,773737728.0,456.6,42,1,0,1,1,40
seq_00014,0.1416,3.413,3616.8,474,4.4003,751160576.0,456.6,42,1,0,1,1,40
seq_00015,0.1412,3.405,3625.94,472,4.4199,2081645952.0,456.6,42,1,0,1,1,40
seq_00016,0.1417,3.418,3613.03,475,4.4217,1008155328.0,456.6,42,1,0,1,1,40
seq_00017,0.1411,3.405,3628.39,472,4.5367,861592640.0,456.6,42,1,0,1,1,40
seq_00018,0.141,3.399,3631.48,472,6.17,755671360.0,456.6,42,1,0,1,1,40
seq_00019,0.1411,3.403,3628.82,470,5.6221,2658837248.0,456.6,42,1,0,1,1,40
seq_00020,0.1413,3.411,3622.53,471,6.3804,2025697920.0,456.6,42,1,0,1,1,40
seq_00021,0.1413,3.411,3623.08,472,4.5969,799626112.0,456.6,42,1,0,1,1,40
seq_00022,0.1408,3.398,3636.7,470,3.3948,2033672832.0,456.6,42,1,0,1,1,40
seq_00023,0.1407,3.395,3637.93,471,5.1191,1372531584.0,456.6,42,1,0,1,1,40
seq_00024,0.1409,3.404,3633.91,471,4.239,759102272.0,456.6,42,1,0,1,1,40
seq_00025,0.1411,3.405,3629.3,470,5.8918,909702144.0,456.6,42,1,0,1,1,40
seq_00026,0.1412,3.408,3627.27,473,3.5778,1374423040.0,456.6,42,1,0,1,1,40
seq_00027,0.1416,3.416,3615.43,471,3.4867,761420992.0,456.6,42,1,0,1,1,40
seq_00028,0.1417,3.416,3614.25,472,6.676,978008384.0,456.6,42,1,0,1,1,40
seq_00029,0.1412,3.407,3626.4,472,4.1321,1058877952.0,456.6,42,1,0,1,1,40
seq_00030,0.1413,3.409,3623.52,470,4.7666,1180193920.0,456.6,42,1,0,1,1,40
seq_00031,0.1418,3.414,3611.41,470,5.0724,1684456832.0,456.6,42,1,0,1,1,40
seq_00032,0.1445,3.457,3542.34,472,5.5616,1245767936.0,456.6,42,1,0,1,1,40
seq_00033,0.1431,3.43,3578.01,474,3.4708,778508800.0,456.6,42,1,0,1,1,40
seq_00034,0.1417,3.419,3612.18,471,5.7708,1716435328.0,456.6,42,1,0,1,1,40
seq_00035,0.1414,3.412,3621.72,473,4.223,2383507200.0,456.6,42,1,0,1,1,40
seq_00036,0.1416,3.417,3614.78,471,4.8268,1719925632.0,456.6,42,1,0,1,1,40
seq_00037,0.1415,3.414,3619.17,470,4.3588,454494432.0,456.6,42,1,0,1,1,40
seq_00038,0.1415,3.415,3618.25,471,5.6233,953687040.0,456.6,42,1,0,1,1,40
seq_00039,0.1413,3.409,3624.45,470,4.4761,1268975104.0,456.6,42,1,0,1,1,40
seq_00040,0.1416,3.416,3615.47,472,4.4411,1829266304.0,456.6,42,1,0,1,1,40
seq_00041,0.1415,3.414,3619.26,471,6.5168,1206366976.0,456.6,42,1,0,1,1,40
seq_00042,0.1418,3.422,3611.13,471,5.6313,811992192.0,456.6,42,1,0,1,1,40
seq_00043,0.1417,3.419,3614.36,471,5.1807,810228608.0,456.6,42,1,0,1,1,40
seq_00044,0.1415,3.415,3618.34,472,5.4349,2781955328.0,456.6,42,1,0,1,1,40
seq_00045,0.1412,3.408,3624.82,473,3.4521,949947200.0,456.6,42,1,0,1,1,40
seq_00046,0.1415,3.413,3617.54,474,4.4321,1021123392.0,456.6,42,1,0,1,1,40
seq_00047,0.1418,3.42,3611.64,471,4.607,1274187136.0,456.6,42,1,0,1,1,40
seq_00048,0.1417,3.421,3612.0,472,3.7626,2282628608.0,456.6,42,1,0,1,1,40
seq_00049,0.1418,3.421,3609.62,475,6.6277,953699840.0,456.6,42,1,0,1,1,40
seq_00050,0.1421,3.43,3603.41,470,3.6839,887485632.0,456.6,42,1,0,1,1,40
seq_00051,0.1413,3.411,3622.86,471,6.1202,828411712.0,456.6,42,1,0,1,1,40
seq_00052,0.1414,3.413,3620.75,472,5.3153,1058128896.0,456.6,42,1,0,1,1,40
seq_00053,0.1417,3.42,3614.37,471,4.1363,1745444992.0,456.6,42,1,0,1,1,40
