seq_id,generation_time_sec,avg_token_latency_ms,throughput_tokens_per_sec,sequence_length,self_perplexity,posthoc_perplexity,memory_usage_mb,seed,temperature,top_k,top_p,batch_size,num_iterations
seq_00001,0.1424,3.437,3595.84,472,4.8126,1356955136.0,456.6,42,1,0,1,1,40
seq_00002,0.1422,3.434,3599.72,470,4.096,651714048.0,456.6,42,1,0,1,1,40
seq_00003,0.142,3.429,3605.29,470,4.0667,562069888.0,456.6,42,1,0,1,1,40
seq_00004,0.1415,3.417,3618.72,472,4.4736,581089920.0,456.6,42,1,0,1,1,40
seq_00005,0.1412,3.41,3626.8,470,5.115,1136619264.0,456.6,42,1,0,1,1,40
seq_00006,0.1412,3.411,3626.22,472,5.5785,1232614784.0,456.6,42,1,0,1,1,40
seq_00007,0.1417,3.42,3613.1,474,5.6837,2848416512.0,456.6,42,1,0,1,1,40
seq_00008,0.1422,3.435,3600.27,473,4.787,1127767552.0,456.6,42,1,0,1,1,40
seq_00009,0.1419,3.424,3607.79,471,5.2535,2124626688.0,456.6,42,1,0,1,1,40
seq_00010,0.1413,3.407,3623.15,473,5.0011,1611067520.0,456.6,42,1,0,1,1,40
seq_00011,0.142,3.431,3604.4,472,5.5703,2198002176.0,456.6,42,1,0,1,1,40
seq_00012,0.1418,3.423,3610.88,472,4.8605,1282506368.0,456.6,42,1,0,1,1,40
seq_00013,0.1419,3.427,3608.05,470,4.9486,773737728.0,456.6,42,1,0,1,1,40
seq_00014,0.1415,3.417,3618.14,474,4.4003,751160576.0,456.6,42,1,0,1,1,40
seq_00015,0.1419,3.426,3609.42,472,4.4199,2081645952.0,456.6,42,1,0,1,1,40
seq_00016,0.1423,3.438,3598.07,475,4.4217,1008155328.0,456.6,42,1,0,1,1,40
seq_00017,0.1414,3.416,3620.34,472,4.5367,861592640.0,456.6,42,1,0,1,1,40
seq_00018,0.1418,3.426,3610.34,472,6.17,755671360.0,456.6,42,1,0,1,1,40
seq_00019,0.1414,3.416,3620.81,470,5.6221,2658837248.0,456.6,42,1,0,1,1,40
seq_00020,0.1416,3.419,3615.8,471,6.3804,2025697920.0,456.6,42,1,0,1,1,40
seq_00021,0.1425,3.442,3592.02,472,4.5969,799626112.0,456.6,42,1,0,1,1,40
seq_00022,0.1415,3.418,3618.51,470,3.3948,2033672832.0,456.6,42,1,0,1,1,40
seq_00023,0.1417,3.422,3614.54,471,5.1191,1372531584.0,456.6,42,1,0,1,1,40
seq_00024,0.1417,3.423,3613.16,471,4.239,759102272.0,456.6,42,1,0,1,1,40
seq_00025,0.1419,3.428,3607.74,470,5.8918,909702144.0,456.6,42,1,0,1,1,40
seq_00026,0.1421,3.433,3603.85,473,3.5778,1374423040.0,456.6,42,1,0,1,1,40
seq_00027,0.1418,3.425,3610.04,471,3.4867,761420992.0,456.6,42,1,0,1,1,40
seq_00028,0.1418,3.424,3609.97,472,6.676,978008384.0,456.6,42,1,0,1,1,40
seq_00029,0.1421,3.434,3601.98,472,4.1321,1058877952.0,456.6,42,1,0,1,1,40
seq_00030,0.1417,3.424,3612.25,470,4.7666,1180193920.0,456.6,42,1,0,1,1,40
seq_00031,0.1413,3.413,3623.94,470,5.0724,1684456832.0,456.6,42,1,0,1,1,40
seq_00032,0.1417,3.421,3613.91,472,5.5616,1245767936.0,456.6,42,1,0,1,1,40
seq_00033,0.1417,3.424,3612.33,474,3.4708,778508800.0,456.6,42,1,0,1,1,40
seq_00034,0.1424,3.44,3595.16,471,5.7708,1716435328.0,456.6,42,1,0,1,1,40
seq_00035,0.1418,3.426,3609.53,473,4.223,2383507200.0,456.6,42,1,0,1,1,40
seq_00036,0.1418,3.424,3610.81,471,4.8268,1719925632.0,456.6,42,1,0,1,1,40
seq_00037,0.142,3.429,3605.91,470,4.3588,454494432.0,456.6,42,1,0,1,1,40
seq_00038,0.1418,3.424,3610.91,471,5.6233,953687040.0,456.6,42,1,0,1,1,40
seq_00039,0.1423,3.436,3599.03,470,4.4761,1268975104.0,456.6,42,1,0,1,1,40
seq_00040,0.1419,3.429,3607.22,472,4.4411,1829266304.0,456.6,42,1,0,1,1,40
seq_00041,0.1416,3.423,3614.96,471,6.5168,1206366976.0,456.6,42,1,0,1,1,40
seq_00042,0.1422,3.437,3600.8,471,5.6313,811992192.0,456.6,42,1,0,1,1,40
seq_00043,0.1418,3.426,3611.38,471,5.1807,810228608.0,456.6,42,1,0,1,1,40
seq_00044,0.1412,3.41,3624.9,472,5.4349,2781955328.0,456.6,42,1,0,1,1,40
seq_00045,0.1418,3.424,3611.52,473,3.4521,949947200.0,456.6,42,1,0,1,1,40
seq_00046,0.1419,3.427,3609.17,474,4.4321,1021123392.0,456.6,42,1,0,1,1,40
seq_00047,0.1419,3.427,3608.8,471,4.607,1274187136.0,456.6,42,1,0,1,1,40
seq_00048,0.1416,3.422,3616.86,472,3.7626,2282628608.0,456.6,42,1,0,1,1,40
seq_00049,0.1417,3.422,3614.48,475,6.6277,953699840.0,456.6,42,1,0,1,1,40
seq_00050,0.1424,3.441,3595.03,470,3.6839,887485632.0,456.6,42,1,0,1,1,40
seq_00051,0.1411,3.408,3629.15,471,6.1202,828411712.0,456.6,42,1,0,1,1,40
seq_00052,0.1412,3.413,3625.31,472,5.3153,1058128896.0,456.6,42,1,0,1,1,40
seq_00053,0.1416,3.423,3615.29,471,4.1363,1745444992.0,456.6,42,1,0,1,1,40
seq_00054,0.1415,3.418,3619.63,471,4.4646,973965120.0,456.6,42,1,0,1,1,40
seq_00055,0.142,3.432,3604.39,473,4.0139,2216183808.0,456.6,42,1,0,1,1,40
seq_00056,0.1414,3.417,3620.1,470,4.7875,472606624.0,456.6,42,1,0,1,1,40
seq_00057,0.1418,3.424,3611.74,475,4.8624,1612949248.0,456.6,42,1,0,1,1,40
seq_00058,0.1421,3.436,3602.06,471,4.2517,962614464.0,456.6,42,1,0,1,1,40
seq_00059,0.1419,3.428,3608.63,471,4.1924,1336921728.0,456.6,42,1,0,1,1,40
seq_00060,0.142,3.431,3606.37,470,4.4752,1576351872.0,456.6,42,1,0,1,1,40
seq_00061,0.1422,3.436,3599.81,471,3.7875,1273317376.0,456.6,42,1,0,1,1,40
seq_00062,0.1418,3.425,3611.28,472,4.6859,604724480.0,456.6,42,1,0,1,1,40
seq_00063,0.1424,3.441,3595.83,471,5.3976,777784576.0,456.6,42,1,0,1,1,40
seq_00064,0.1417,3.425,3612.99,472,4.1083,1242993408.0,456.6,42,1,0,1,1,40
seq_00065,0.1422,3.435,3600.54,470,3.5031,1859867264.0,456.6,42,1,0,1,1,40
seq_00066,0.1419,3.428,3607.62,471,5.1418,1366599168.0,456.6,42,1,0,1,1,40
seq_00067,0.1421,3.436,3602.45,471,5.4683,1582787200.0,456.6,42,1,0,1,1,40
seq_00068,0.142,3.432,3605.86,470,4.4206,1133263872.0,456.6,42,1,0,1,1,40
seq_00069,0.1419,3.429,3608.85,470,4.5227,633287872.0,456.6,42,1,0,1,1,40
seq_00070,0.1418,3.427,3610.19,471,5.0226,1653774336.0,456.6,42,1,0,1,1,40
seq_00071,0.1417,3.424,3612.5,471,5.279,1946776064.0,456.6,42,1,0,1,1,40
seq_00072,0.142,3.433,3605.8,472,3.4406,968441216.0,456.6,42,1,0,1,1,40
seq_00073,0.1419,3.43,3608.42,470,3.1392,829776448.0,456.6,42,1,0,1,1,40
seq_00074,0.1421,3.434,3603.81,473,4.3273,574816448.0,456.6,42,1,0,1,1,40
seq_00075,0.142,3.431,3605.22,472,5.3888,915811072.0,456.6,42,1,0,1,1,40
seq_00076,0.1419,3.429,3607.36,474,5.6502,1281501440.0,456.6,42,1,0,1,1,40
seq_00077,0.142,3.433,3604.49,471,4.2696,2095588864.0,456.6,42,1,0,1,1,40
seq_00078,0.1419,3.428,3609.12,470,4.5946,1704420096.0,456.6,42,1,0,1,1,40
seq_00079,0.1418,3.429,3610.16,472,3.901,1335604096.0,456.6,42,1,0,1,1,40
seq_00080,0.1422,3.437,3601.31,470,3.1663,1090327424.0,456.6,42,1,0,1,1,40
seq_00081,0.1423,3.438,3598.4,471,3.8359,1171530112.0,456.6,42,1,0,1,1,40
seq_00082,0.1421,3.435,3603.71,471,6.6921,778425664.0,456.6,42,1,0,1,1,40
seq_00083,0.142,3.432,3606.57,475,4.7678,1286220288.0,456.6,42,1,0,1,1,40
seq_00084,0.1419,3.429,3609.4,471,4.5171,706117248.0,456.6,42,1,0,1,1,40
seq_00085,0.1421,3.434,3603.23,471,3.7281,816640896.0,456.6,42,1,0,1,1,40
seq_00086,0.1418,3.426,3610.72,473,5.4065,2604756224.0,456.6,42,1,0,1,1,40
seq_00087,0.142,3.432,3604.4,474,4.6082,698142336.0,456.6,42,1,0,1,1,40
seq_00088,0.1421,3.434,3602.65,473,4.5733,2430049536.0,456.6,42,1,0,1,1,40
seq_00089,0.1418,3.425,3610.9,473,4.3583,1383420416.0,456.6,42,1,0,1,1,40
seq_00090,0.1423,3.441,3597.08,471,4.8743,824272896.0,456.6,42,1,0,1,1,40
seq_00091,0.1421,3.436,3602.46,470,3.8492,1094041728.0,456.6,42,1,0,1,1,40
seq_00092,0.1419,3.431,3607.14,473,4.4299,718006144.0,456.6,42,1,0,1,1,40
seq_00093,0.1424,3.44,3595.52,472,4.6584,611594944.0,456.6,42,1,0,1,1,40
seq_00094,0.1424,3.44,3595.81,470,2.6631,714597440.0,456.6,42,1,0,1,1,40
seq_00095,0.1422,3.437,3599.8,470,4.6468,810078720.0,456.6,42,1,0,1,1,40
seq_00096,0.142,3.431,3605.78,472,4.8205,754604096.0,456.6,42,1,0,1,1,40
seq_00097,0.1419,3.43,3607.74,470,4.1321,1518851200.0,456.6,42,1,0,1,1,40
seq_00098,0.1423,3.436,3598.87,474,4.0161,1685240960.0,456.6,42,1,0,1,1,40
seq_00099,0.1423,3.439,3597.73,470,4.3359,1242104576.0,456.6,42,1,0,1,1,40
seq_00100,0.1422,3.436,3600.94,470,3.8671,711903808.0,456.6,42,1,0,1,1,40
seq_00101,0.1421,3.434,3604.29,471,4.1363,1139549696.0,456.6,42,1,0,1,1,40
seq_00102,0.1423,3.436,3599.14,471,4.3534,2093671168.0,456.6,42,1,0,1,1,40
seq_00103,0.1422,3.437,3600.44,472,6.0675,1234798464.0,456.6,42,1,0,1,1,40
seq_00104,0.1426,3.446,3589.77,470,3.8189,1697396352.0,456.6,42,1,0,1,1,40
seq_00105,0.1422,3.438,3599.31,472,3.2115,1055593024.0,456.6,42,1,0,1,1,40
seq_00106,0.1421,3.433,3602.4,473,4.7642,1041545280.0,456.6,42,1,0,1,1,40
seq_00107,0.1425,3.442,3592.0,471,5.6991,984713216.0,456.6,42,1,0,1,1,40
seq_00108,0.1425,3.443,3593.12,474,4.5048,525480896.0,456.6,42,1,0,1,1,40
seq_00109,0.1424,3.441,3595.92,471,4.1852,1068920512.0,456.6,42,1,0,1,1,40
seq_00110,0.142,3.435,3604.51,474,5.0573,1104679040.0,456.6,42,1,0,1,1,40
seq_00111,0.1422,3.435,3601.52,472,5.5145,1225689344.0,456.6,42,1,0,1,1,40
seq_00112,0.1426,3.447,3590.9,471,6.4309,1218340352.0,456.6,42,1,0,1,1,40
seq_00113,0.1424,3.442,3596.15,471,3.8286,2777401344.0,456.6,42,1,0,1,1,40
seq_00114,0.1424,3.44,3596.55,470,4.6729,1548228992.0,456.6,42,1,0,1,1,40
seq_00115,0.1425,3.444,3593.04,471,4.788,899191296.0,456.6,42,1,0,1,1,40
seq_00116,0.1425,3.444,3593.93,471,4.1897,690534016.0,456.6,42,1,0,1,1,40
seq_00117,0.1428,3.451,3584.39,470,5.0373,1696114688.0,456.6,42,1,0,1,1,40
seq_00118,0.1422,3.435,3601.0,470,6.387,919106176.0,456.6,42,1,0,1,1,40
seq_00119,0.1425,3.444,3593.68,472,5.7029,2309174272.0,456.6,42,1,0,1,1,40
seq_00120,0.1476,3.559,3468.62,472,5.6529,1340322688.0,456.6,42,1,0,1,1,40
seq_00121,0.1416,3.424,3616.15,471,3.1271,544372736.0,456.6,42,1,0,1,1,40
seq_00122,0.1413,3.418,3623.31,472,5.3413,1786015872.0,456.6,42,1,0,1,1,40
seq_00123,0.141,3.41,3630.96,473,6.2239,1092404864.0,456.6,42,1,0,1,1,40
seq_00124,0.1414,3.42,3620.94,473,4.1386,1205246976.0,456.6,42,1,0,1,1,40
seq_00125,0.1414,3.422,3620.31,472,4.6063,1228664320.0,456.6,42,1,0,1,1,40
seq_00126,0.1412,3.416,3624.95,471,5.8727,1123130880.0,456.6,42,1,0,1,1,40
seq_00127,0.1415,3.421,3618.47,471,3.6718,1439764864.0,456.6,42,1,0,1,1,40
seq_00128,0.1412,3.415,3625.51,471,4.3141,1645100672.0,456.6,42,1,0,1,1,40
seq_00129,0.1415,3.421,3619.42,475,5.5948,1831015296.0,456.6,42,1,0,1,1,40
seq_00130,0.1417,3.426,3613.16,471,6.1296,1265523456.0,456.6,42,1,0,1,1,40
seq_00131,0.1411,3.412,3629.46,473,4.3563,1033576000.0,456.6,42,1,0,1,1,40
seq_00132,0.1419,3.43,3609.0,472,4.1876,1371204992.0,456.6,42,1,0,1,1,40
seq_00133,0.1415,3.422,3617.68,472,5.7125,1783942400.0,456.6,42,1,0,1,1,40
seq_00134,0.1413,3.417,3623.66,470,5.7199,2070696576.0,456.6,42,1,0,1,1,40
seq_00135,0.1416,3.426,3614.78,470,4.7279,1454562432.0,456.6,42,1,0,1,1,40
seq_00136,0.1415,3.421,3618.66,471,4.5013,1997349120.0,456.6,42,1,0,1,1,40
seq_00137,0.1413,3.419,3622.31,470,4.7138,1485550080.0,456.6,42,1,0,1,1,40
seq_00138,0.1416,3.426,3615.3,471,4.2574,1135208832.0,456.6,42,1,0,1,1,40
seq_00139,0.1415,3.422,3618.61,471,4.1962,1325250816.0,456.6,42,1,0,1,1,40
seq_00140,0.1412,3.414,3627.22,470,4.3649,1315911168.0,456.6,42,1,0,1,1,40
seq_00141,0.1415,3.424,3617.79,470,4.0459,1253583488.0,456.6,42,1,0,1,1,40
seq_00142,0.1412,3.415,3626.67,472,5.1056,1470050304.0,456.6,42,1,0,1,1,40
seq_00143,0.1413,3.418,3622.39,471,4.2043,2355042048.0,456.6,42,1,0,1,1,40
seq_00144,0.1421,3.432,3603.57,473,5.0749,373170112.0,456.6,42,1,0,1,1,40
seq_00145,0.1419,3.427,3609.43,472,4.2021,1288818304.0,456.6,42,1,0,1,1,40
seq_00146,0.1419,3.429,3608.31,472,4.3884,1587882240.0,456.6,42,1,0,1,1,40
seq_00147,0.1417,3.426,3612.83,472,4.5724,785210560.0,456.6,42,1,0,1,1,40
seq_00148,0.1418,3.431,3609.82,470,4.3427,1247812992.0,456.6,42,1,0,1,1,40
seq_00149,0.1417,3.428,3613.28,472,4.4374,1257993088.0,456.6,42,1,0,1,1,40
seq_00150,0.1417,3.426,3612.12,470,6.7577,354982208.0,456.6,42,1,0,1,1,40
seq_00151,0.1419,3.43,3608.67,470,4.3334,881696768.0,456.6,42,1,0,1,1,40
seq_00152,0.1416,3.425,3615.55,471,4.1797,2861065216.0,456.6,42,1,0,1,1,40
seq_00153,0.1414,3.419,3621.06,471,5.6507,1336478208.0,456.6,42,1,0,1,1,40
seq_00154,0.1419,3.429,3607.69,473,2.8255,1357672320.0,456.6,42,1,0,1,1,40
seq_00155,0.1421,3.434,3602.86,472,6.03,3386793984.0,456.6,42,1,0,1,1,40
seq_00156,0.1417,3.423,3613.3,472,3.764,545934464.0,456.6,42,1,0,1,1,40
seq_00157,0.1417,3.425,3612.31,471,3.4795,727154624.0,456.6,42,1,0,1,1,40
seq_00158,0.1418,3.427,3610.58,471,6.8331,1774399872.0,456.6,42,1,0,1,1,40
