run_id,learning_rate,weight_decay,batch_size,grad_accum,max_seq_len,output_dir,status
1,3e-05,0.01,1,4,512,hyperparam_runs/run_001_lr3e-05_wd0.01_bs1_ga4_len512,Success
2,3e-05,0.01,1,8,512,hyperparam_runs/run_002_lr3e-05_wd0.01_bs1_ga8_len512,Success
3,3e-05,0.01,2,4,512,hyperparam_runs/run_003_lr3e-05_wd0.01_bs2_ga4_len512,Success
4,3e-05,0.01,2,8,512,hyperparam_runs/run_004_lr3e-05_wd0.01_bs2_ga8_len512,Success
6,3e-05,0.05,1,8,512,hyperparam_runs/run_006_lr3e-05_wd0.05_bs1_ga8_len512,Success
7,3e-05,0.05,2,4,512,hyperparam_runs/run_007_lr3e-05_wd0.05_bs2_ga4_len512,Success
9,5e-05,0.01,1,4,512,hyperparam_runs/run_009_lr5e-05_wd0.01_bs1_ga4_len512,Success
10,5e-05,0.01,1,8,512,hyperparam_runs/run_010_lr5e-05_wd0.01_bs1_ga8_len512,Success
11,5e-05,0.01,2,4,512,hyperparam_runs/run_011_lr5e-05_wd0.01_bs2_ga4_len512,Success
12,5e-05,0.01,2,8,512,hyperparam_runs/run_012_lr5e-05_wd0.01_bs2_ga8_len512,Success
13,5e-05,0.05,1,4,512,hyperparam_runs/run_013_lr5e-05_wd0.05_bs1_ga4_len512,Success
14,5e-05,0.05,1,8,512,hyperparam_runs/run_014_lr5e-05_wd0.05_bs1_ga8_len512,Success
16,5e-05,0.05,2,8,512,hyperparam_runs/run_016_lr5e-05_wd0.05_bs2_ga8_len512,Success
17,7e-05,0.01,1,4,512,hyperparam_runs/run_017_lr7e-05_wd0.01_bs1_ga4_len512,Success
18,7e-05,0.01,1,8,512,hyperparam_runs/run_018_lr7e-05_wd0.01_bs1_ga8_len512,Success
5,3e-05,0.05,1,4,512,hyperparam_runs/run_005_lr3e-05_wd0.05_bs1_ga4_len512,Success
8,3e-05,0.05,2,8,512,hyperparam_runs/run_008_lr3e-05_wd0.05_bs2_ga8_len512,Success
20,7e-05,0.01,2,8,512,hyperparam_runs/run_020_lr7e-05_wd0.01_bs2_ga8_len512,Success
21,7e-05,0.05,1,4,512,hyperparam_runs/run_021_lr7e-05_wd0.05_bs1_ga4_len512,Success
22,7e-05,0.05,1,8,512,hyperparam_runs/run_022_lr7e-05_wd0.05_bs1_ga8_len512,Success
23,7e-05,0.05,2,4,512,hyperparam_runs/run_023_lr7e-05_wd0.05_bs2_ga4_len512,Success
24,7e-05,0.05,2,8,512,hyperparam_runs/run_024_lr7e-05_wd0.05_bs2_ga8_len512,Success
15,5e-05,0.05,2,4,512,hyperparam_runs/run_015_lr5e-05_wd0.05_bs2_ga4_len512,Success
19,7e-05,0.01,2,4,512,hyperparam_runs/run_019_lr7e-05_wd0.01_bs2_ga4_len512,Success
1,8e-05,0.05,2,4,512,/home/mluser/AFML_RISHABH/Project/hyperparam_runs/run_next_001_lr8e-05_wd0.05_bs2_ga4_len512,Success
2,7e-05,0.03,2,4,512,/home/mluser/AFML_RISHABH/Project/hyperparam_runs/run_next_002_lr7e-05_wd0.03_bs2_ga4_len512,Success
3,7e-05,0.05,4,2,512,/home/mluser/AFML_RISHABH/Project/hyperparam_runs/run_next_003_lr7e-05_wd0.05_bs4_ga2_len512,Success
4,7e-05,0.05,1,8,768,/home/mluser/AFML_RISHABH/Project/hyperparam_runs/run_next_004_lr7e-05_wd0.05_bs1_ga8_len768,Success
