section,call_count,total_time_sec,avg_time_ms,min_time_ms,max_time_ms,std_dev_ms,percentage
sequence_generation_total,500,674.299606,1348.5992,1095.8698,5290.9303,334.4291,32.84
iteration_total,20000,666.003161,33.3002,14.2441,911.7401,19.9426,32.43
forward_pass,20000,623.458744,31.1729,13.0811,892.0438,18.7026,30.36
sampling,20000,22.179298,1.109,0.0,178.3383,2.6564,1.08
multinomial_sampling,20000,17.848361,0.8924,0.0,178.3383,2.4175,0.87
perplexity_calculation,500,17.054183,34.1084,23.3026,254.6678,11.5798,0.83
logits_processing,20000,8.283468,0.4142,0.0,46.8626,1.1987,0.4
decoding,500,6.474457,12.9489,0.0,107.8584,6.9326,0.32
temperature_scaling,20000,5.854301,0.2927,0.0,46.8626,1.0369,0.29
choose_mask_position,20000,4.36764,0.2184,0.0,107.1434,1.2045,0.21
softmax,20000,2.993917,0.1497,0.0,50.3061,0.8484,0.15
token_update,20000,2.644326,0.1322,0.0,50.4229,0.7341,0.13
initialization,500,1.380099,2.7602,0.0,57.436,3.4996,0.07
top_k_filtering,20000,0.3153,0.0158,0.0,14.1959,0.2325,0.02
top_p_filtering,20000,0.280882,0.014,0.0,8.0245,0.1962,0.01
