section,call_count,total_time_sec,avg_time_ms,min_time_ms,max_time_ms,std_dev_ms,percentage
sequence_generation_total,500,694.812908,1389.6258,984.1902,10789.8083,527.5563,32.84
iteration_total,20000,683.470195,34.1735,8.1401,1289.7797,24.7405,32.3
forward_pass,20000,629.867328,31.4934,6.1471,1276.5555,23.5442,29.77
sampling,20000,28.232289,1.4116,0.0,158.7718,3.0118,1.33
multinomial_sampling,20000,22.946202,1.1473,0.0,156.7719,2.5832,1.08
perplexity_calculation,500,17.704789,35.4096,14.0438,304.7564,16.7424,0.84
decoding,500,8.927701,17.8554,0.0,69.4382,6.0237,0.42
token_update,20000,8.867779,0.4434,0.0,107.3985,1.6383,0.42
logits_processing,20000,7.024088,0.3512,0.0,39.0723,1.2742,0.33
choose_mask_position,20000,4.650457,0.2325,0.0,33.6988,1.0416,0.22
temperature_scaling,20000,4.073695,0.2037,0.0,20.4158,0.9636,0.19
softmax,20000,3.144791,0.1572,0.0,38.6319,0.83,0.15
initialization,500,1.607174,3.2143,0.0,21.7061,3.0957,0.08
top_k_filtering,20000,0.407183,0.0204,0.0,14.0026,0.2982,0.02
top_p_filtering,20000,0.28898,0.0144,0.0,15.8796,0.2295,0.01
