seq_id,generation_time_sec,avg_token_latency_ms,throughput_tokens_per_sec,sequence_length,self_perplexity,posthoc_perplexity,memory_usage_mb,seed,temperature,top_k,top_p,batch_size,target_aa_length
seq_00001,3.2893,6.45,155.05,510,3.0705,13.9206,745.82,42,1,0,1,1,510
seq_00002,3.1774,6.23,160.51,510,2.7064,8.8422,745.82,42,1,0,1,1,510
seq_00003,3.1191,6.116,163.51,510,3.0366,14.437,745.82,42,1,0,1,1,510
seq_00004,3.128,6.133,163.04,510,3.2788,14.4727,745.82,42,1,0,1,1,510
seq_00005,3.1334,6.144,162.76,510,3.0009,12.3759,745.82,42,1,0,1,1,510
seq_00006,3.1296,6.136,162.96,510,2.9674,11.7214,745.82,42,1,0,1,1,510
seq_00007,3.1246,6.127,163.22,510,2.7163,6.2475,745.82,42,1,0,1,1,510
seq_00008,3.1481,6.173,162.0,510,2.9369,13.5104,745.82,42,1,0,1,1,510
seq_00009,3.1274,6.132,163.07,510,2.7568,7.4717,745.82,42,1,0,1,1,510
seq_00010,3.1454,6.167,162.14,510,3.0234,8.0761,745.82,42,1,0,1,1,510
seq_00011,1.9827,5.432,183.09,363,3.391,13.5775,698.51,42,1,0,1,1,510
seq_00012,3.1719,6.219,160.79,510,2.4963,7.7338,745.82,42,1,0,1,1,510
seq_00013,3.156,6.188,161.6,510,2.5357,7.3618,745.82,42,1,0,1,1,510
seq_00014,3.1501,6.177,161.9,510,2.7891,9.7503,745.82,42,1,0,1,1,510
seq_00015,3.1441,6.165,162.21,510,2.7693,11.0331,745.82,42,1,0,1,1,510
seq_00016,3.1484,6.173,161.03,507,14.2103,41.1844,745.82,42,1,0,1,1,510
seq_00017,3.1471,6.171,162.06,510,2.8873,14.2641,745.82,42,1,0,1,1,510
seq_00018,3.1707,6.217,160.85,510,2.8726,10.9679,745.82,42,1,0,1,1,510
seq_00019,3.1498,6.176,161.91,510,3.2555,11.9893,745.82,42,1,0,1,1,510
seq_00020,3.1484,6.173,161.98,510,2.4094,10.3626,745.82,42,1,0,1,1,510
seq_00021,3.144,6.165,162.21,510,2.912,11.3778,745.82,42,1,0,1,1,510
seq_00022,3.1527,6.182,161.76,510,3.044,9.8025,745.82,42,1,0,1,1,510
seq_00023,3.146,6.169,162.11,510,2.7137,14.5982,745.82,42,1,0,1,1,510
seq_00024,3.1549,6.186,161.65,510,3.4134,11.355,745.82,42,1,0,1,1,510
seq_00025,3.1443,6.165,162.2,510,4.7127,16.8739,745.82,42,1,0,1,1,510
seq_00026,3.1529,6.182,161.76,510,2.7966,8.197,745.82,42,1,0,1,1,510
seq_00027,3.145,6.167,162.16,510,2.8298,10.1901,745.82,42,1,0,1,1,510
seq_00028,3.1516,6.18,161.82,510,2.4935,9.1793,745.82,42,1,0,1,1,510
seq_00029,3.1427,6.162,162.28,510,2.5812,9.9607,745.82,42,1,0,1,1,510
seq_00030,3.1454,6.167,162.14,510,2.9537,10.3752,745.82,42,1,0,1,1,510
seq_00031,3.143,6.163,162.26,510,2.7713,8.3946,745.82,42,1,0,1,1,510
seq_00032,3.1439,6.164,161.58,508,4.1935,16.7295,745.82,42,1,0,1,1,510
seq_00033,3.146,6.169,162.11,510,2.8873,10.7254,745.82,42,1,0,1,1,510
seq_00034,3.148,6.173,162.01,510,2.5623,9.1489,745.82,42,1,0,1,1,510
seq_00035,3.1407,6.158,162.38,510,3.5314,12.8341,745.82,42,1,0,1,1,510
seq_00036,3.1558,6.188,161.61,510,3.5273,14.8103,745.82,42,1,0,1,1,510
seq_00037,3.1693,6.214,160.92,510,2.547,9.5024,745.82,42,1,0,1,1,510
seq_00038,3.1494,6.175,161.93,510,2.6279,12.3765,745.82,42,1,0,1,1,510
seq_00039,3.1479,6.172,162.01,510,3.3749,17.0517,745.82,42,1,0,1,1,510
seq_00040,3.1365,6.15,162.6,510,3.2495,13.3309,745.82,42,1,0,1,1,510
seq_00041,3.1842,6.244,160.17,510,2.7696,11.3316,745.82,42,1,0,1,1,510
seq_00042,3.1488,6.174,161.97,510,2.8325,12.5744,745.82,42,1,0,1,1,510
seq_00043,3.1498,6.176,161.92,510,2.7847,10.2126,745.82,42,1,0,1,1,510
seq_00044,3.1482,6.173,161.36,508,8.258,17.3676,745.82,42,1,0,1,1,510
seq_00045,3.1474,6.171,162.04,510,2.6653,10.8205,745.82,42,1,0,1,1,510
seq_00046,3.146,6.169,161.47,508,4.1077,12.8333,745.82,42,1,0,1,1,510
seq_00047,3.1637,6.203,161.21,510,3.1138,12.7599,745.82,42,1,0,1,1,510
seq_00048,3.1463,6.169,162.1,510,2.7762,9.1643,745.82,42,1,0,1,1,510
seq_00049,3.1426,6.162,162.29,510,2.6449,7.6232,745.82,42,1,0,1,1,510
seq_00050,3.1426,6.162,162.29,510,4.4564,11.9538,745.82,42,1,0,1,1,510
