Sequence_ID,Hybrid_pLDDT_Proxy
seq_1,0.97541654
seq_2,0.9803973
seq_3,0.97035486
seq_4,0.9684561
seq_5,0.9789665
seq_6,0.9829489
seq_7,0.9773018
seq_8,0.96738535
seq_9,0.9735626
seq_10,0.97369635
seq_11,0.969149
seq_12,0.9709669
seq_13,0.97041494
seq_14,0.9915815
seq_15,0.9760334
seq_16,0.98205477
seq_17,1.0
seq_18,0.96931255
seq_19,0.96608907
seq_20,0.97629184
seq_21,0.9657129
seq_22,0.97246516
seq_23,0.9940733
seq_24,0.98272395
seq_25,0.9686209
seq_26,0.9933655
seq_27,0.98388404
seq_28,0.97097874
seq_29,0.9689864
seq_30,0.98192054
seq_31,0.9680341
seq_32,0.98279285
seq_33,0.9744306
seq_34,0.97053504
seq_35,0.9692924
seq_36,0.975762
seq_37,0.97129107
seq_38,0.97832954
seq_39,0.98490924
seq_40,0.97779906
seq_41,0.9754972
seq_42,0.9813957
seq_43,0.97021174
seq_44,0.9631535
seq_45,0.9747722
seq_46,0.9656689
seq_47,0.9829193
seq_48,0.9822061
seq_49,0.96810687
seq_50,0.98198384
seq_51,0.97581404
seq_52,0.9840076
seq_53,0.975594
seq_54,0.9634153
seq_55,0.9715957
seq_56,0.9774725
seq_57,0.9839723
seq_58,0.97743404
seq_59,0.97382164
seq_60,0.9702186
seq_61,0.9623837
seq_62,0.97417736
seq_63,0.964588
seq_64,0.9656438
seq_65,0.9738614
seq_66,0.97731656
seq_67,0.98195183
seq_68,0.96463233
seq_69,0.96913403
seq_70,0.97698176
seq_71,0.9725426
seq_72,0.98752356
seq_73,0.9621751
seq_74,0.95837104
seq_75,0.97512585
seq_76,0.9692414
seq_77,0.9718702
seq_78,0.9736487
seq_79,0.97251093
seq_80,0.96589595
seq_81,0.97594315
seq_82,0.973385
seq_83,0.966667
seq_84,0.9848228
seq_85,0.9732249
seq_86,0.96522236
seq_87,0.9672479
seq_88,0.9770451
seq_89,0.97364384
seq_90,0.9701504
seq_91,0.97255725
seq_92,0.97818696
seq_93,0.966838
seq_94,0.9770478
seq_95,0.9835642
seq_96,0.9905246
seq_97,0.96825695
seq_98,0.96307784
seq_99,0.9745694
seq_100,0.9705955
seq_101,0.9750503
seq_102,0.9736869
seq_103,0.9723301
seq_104,0.9796321
seq_105,0.9717882
seq_106,0.9817933
seq_107,0.97450197
seq_108,0.974904
seq_109,1.0
seq_110,0.9645324
seq_111,0.974119
seq_112,0.9695706
seq_113,0.9650495
seq_114,0.97407216
seq_115,0.97385496
seq_116,0.96361756
seq_117,0.9665296
seq_118,0.97938347
seq_119,0.96391
seq_120,0.9725549
seq_121,0.9748032
seq_122,0.9905299
seq_123,0.9766392
seq_124,0.98326546
seq_125,0.97074366
seq_126,0.97128206
seq_127,0.96628207
seq_128,0.9811908
seq_129,0.9743846
seq_130,0.97572637
seq_131,0.9764727
seq_132,0.96947825
seq_133,1.0
seq_134,0.97586006
seq_135,0.9753648
seq_136,0.97289383
seq_137,0.9700269
seq_138,0.97403246
seq_139,0.9854695
seq_140,0.9620554
seq_141,0.9749526
seq_142,0.97472554
seq_143,0.98166394
seq_144,0.9699787
seq_145,0.9684771
seq_146,0.9764561
seq_147,0.96492
seq_148,0.9633979
seq_149,0.9586174
seq_150,0.969464
seq_151,0.9762938
seq_152,0.9687625
seq_153,0.9777634
seq_154,0.9715756
seq_155,0.9410913
seq_156,0.96835357
seq_157,0.9757885
seq_158,0.98292524
seq_159,0.97061545
seq_160,0.9736956
seq_161,0.96456003
seq_162,0.97913337
seq_163,0.9687201
seq_164,0.9727303
seq_165,0.9652919
seq_166,0.9746876
seq_167,0.98231685
seq_168,0.9660974
seq_169,0.9622605
seq_170,0.9569735
seq_171,0.9670666
seq_172,0.9644915
seq_173,0.97030455
seq_174,0.9716108
seq_175,0.95276845
seq_176,0.9659013
seq_177,0.96930313
seq_178,0.9737376
seq_179,0.9705641
seq_180,0.9727023
seq_181,0.9630477
seq_182,0.9656512
seq_183,0.9766015
seq_184,0.9667067
seq_185,0.9584589
seq_186,0.9719813
seq_187,0.9702659
seq_188,0.9777336
seq_189,0.9728118
seq_190,0.97231007
seq_191,0.9695673
seq_192,0.9612776
seq_193,0.9911362
seq_194,1.0
seq_195,0.9928302
seq_196,0.99792635
seq_197,0.9921566
seq_198,0.9956041
seq_199,0.9926354
seq_200,0.99782664
