model,sequence_id,length,aa_L1_divergence,kmer3_JSD,kmer5_JSD,shannon_entropy,hydrophobicity,net_charge,molecular_weight,repetitive_content,low_complexity_fraction,motif_VAIK,motif_HRD,motif_DFG,motif_APE,motif_GxGxxG
train,tr|A0A5N3XK18|A0A5N3XK18_MUNRE,785,0.21718176342754233,0.6847951012527278,0.9872311488658568,4.072667422615359,-0.29222929936305736,0.03694267515923567,100540,0.008939974457215836,0.002583979328165375,0,0,1,0,1
train,tr|A0A8P0TUF7|A0A8P0TUF7_CANLF,1099,0.18646415447829587,0.6300597000742365,0.9804813476137737,4.133146092340025,-0.1920837124658781,-0.01910828025477707,141915,0.0054694621695533276,0.015625,0,1,1,1,1
train,tr|A0A7L1BDZ7|A0A7L1BDZ7_GYMTI,74,0.231794414831999,0.9194204649036363,0.9906812800417127,4.045233987848376,-0.2662162162162163,0.08108108108108109,9552,0.0,0.0,0,1,1,1,0
train,tr|G1LCI9|G1LCI9_AILME,434,0.1688139064271515,0.7964752949210132,0.982637067302483,4.210396947889317,-0.1880184331797235,0.03686635944700461,56569,0.0023148148148148147,0.0,0,1,0,1,1
train,tr|A0A1S1MFI7|A0A1S1MFI7_MYCCH,449,0.33960245240729237,0.7845776195075249,0.9937363612131448,4.029707981049914,-0.08619153674832963,0.0022271714922048997,57114,0.0044742729306487695,0.0,0,0,1,0,0
train,tr|A0AAD5DMG7|A0AAD5DMG7_9CHLO,819,0.22412049036633686,0.6795690865413844,0.9858679588752207,4.079542801909463,-0.1390720390720391,0.013431013431013432,105243,0.009791921664626682,0.0037128712871287127,1,0,1,1,1
train,tr|A0A9N8QH36|A0A9N8QH36_9BASI,163,0.28334997710499954,0.8796162888305528,0.9957127348212598,3.980660283556841,-0.25092024539877295,0.0736196319018405,21113,0.012422360248447204,0.0,0,0,1,0,1
train,tr|A0AAD8RAB7|A0AAD8RAB7_LOLMU,411,0.18540352094547896,0.79286766750871,0.9831390969860638,4.192458329333369,-0.14841849148418496,0.0535279805352798,53245,0.017114914425427872,0.02,1,1,1,1,1
train,tr|A0A852PMQ7|A0A852PMQ7_9PASS,372,0.20274437798012315,0.8078232726548374,0.993201714580659,4.152525690790916,-0.36747311827956997,-0.024193548387096774,48824,0.002702702702702703,0.0,0,0,1,1,0
train,tr|K3ZE90|K3ZE90_SETIT,357,0.26460146996837997,0.7960285775230344,0.9893101998290544,4.048382084332405,-0.24369747899159663,0.01680672268907563,45691,0.0028169014084507044,0.014450867052023121,0,1,1,0,1
train,tr|A0A091R1Y8|A0A091R1Y8_9AVES,306,0.22449374601803232,0.8284445164084556,0.9916980723681643,4.142950115046893,-0.23431372549019608,0.032679738562091505,39698,0.009868421052631578,0.0,0,0,0,0,0
train,tr|A0A7K6FRU9|A0A7K6FRU9_9CORV,440,0.2992144485369711,0.7663910022430005,0.9876565510428353,4.029360401268983,-0.6534090909090909,0.00909090909090909,59296,0.0091324200913242,0.002331002331002331,1,0,1,1,0
train,tr|A0A8C4YB04|A0A8C4YB04_9SAUR,359,0.20863093045918574,0.8074653162213691,0.98768814416616,4.185276593978798,-0.20334261838440115,0.022284122562674095,47480,0.011204481792717087,0.0,0,0,1,1,1
train,tr|A0A8C2V7M1|A0A8C2V7M1_CHILA,484,0.1605854867559289,0.7661462301508793,0.9784633553148497,4.195556964281299,-0.32623966942148763,0.028925619834710745,63803,0.004149377593360996,0.0,1,1,1,1,1
train,tr|A0A5N5LU84|A0A5N5LU84_PANHP,489,0.1472645206807892,0.7727347674717645,0.9882949379078724,4.196500065150058,-0.41124744376278116,0.034764826175869123,64923,0.0,0.0,1,1,1,1,0
train,tr|A0A452QA07|A0A452QA07_URSAM,1200,0.34347397127672447,0.6374889457000507,0.9728744146308282,4.112708112136905,-0.37975,0.0525,152521,0.01335559265442404,0.01345668629100084,1,0,1,1,1
train,tr|A0A8B8UE97|A0A8B8UE97_CAMFR,433,0.2104607852348764,0.76142367708828,0.9829026978775788,4.081821391508576,-0.48267898383371827,-0.011547344110854504,55877,0.0069605568445475635,0.011848341232227487,1,1,1,1,1
train,tr|A0A3L7LT71|A0A3L7LT71_9GAMM,544,0.22996825010963814,0.7663073533010194,0.9906035611649924,4.135915522064305,-0.13584558823529413,0.025735294117647058,72680,0.0018450184501845018,0.0,1,0,0,0,0
train,tr|V7BKI3|V7BKI3_PHAVU,612,0.1564292455782935,0.7199161670185658,0.9915583281808301,4.099291697185139,-0.14215686274509803,0.0032679738562091504,77613,0.013114754098360656,0.011647254575707155,0,0,1,0,0
train,tr|A0A9R1BYD1|A0A9R1BYD1_TRITD,662,0.12612553328581672,0.709607800729807,0.9877495164224644,4.156480422848571,-0.49033232628398793,0.015105740181268883,85341,0.004545454545454545,0.0,1,1,1,1,0
train,tr|A0A3B3XYZ2|A0A3B3XYZ2_9TELE,1102,0.29018304612946366,0.6392098279259576,0.9796268486790318,4.083724583484124,-0.4900181488203268,0.045372050816696916,139127,0.016363636363636365,0.02016498625114574,1,0,1,1,1
train,tr|A0A0H2SQ12|A0A0H2SQ12_9AGAM,413,0.183522493827062,0.793583757889221,0.9936226040077744,4.149409202481651,-0.5615012106537531,0.03389830508474576,53897,0.0024330900243309003,0.0,0,0,0,0,1
train,tr|G0VCN1|G0VCN1_NAUCA,425,0.33976018813411496,0.7970422775462267,0.9906868311514221,4.116541867895591,-0.23905882352941174,-0.004705882352941176,56044,0.0070921985815602835,0.0,0,0,1,1,1
train,tr|A0A6P4JSW3|A0A6P4JSW3_DROKI,475,0.19294091604489402,0.7766748557565195,0.9837003486010586,4.1628582096956395,-0.5675789473684211,0.061052631578947365,61919,0.014799154334038054,0.0021551724137931034,1,0,1,0,1
train,tr|A0A6I9XUL4|A0A6I9XUL4_9SAUR,863,0.1811856062288793,0.6663867278919154,0.9805126725255656,4.131023929192387,-0.4439165701042874,-0.01738122827346466,112434,0.015098722415795587,0.02112676056338028,0,1,1,1,0
