Sequence_ID,Hybrid_pLDDT_Proxy
seq_1,0.802799
seq_2,0.8965701
seq_3,0.8934201
seq_4,0.91767526
seq_5,0.9244826
seq_6,0.8911051
seq_7,0.87858313
seq_8,0.896014
seq_9,0.9144757
seq_10,0.8704771
seq_11,0.9095236
seq_12,0.91077113
seq_13,0.9170143
seq_14,0.87715334
seq_15,0.9080059
seq_16,0.926299
seq_17,0.8861351
seq_18,0.90416956
seq_19,0.9078743
seq_20,0.9036166
seq_21,0.8877079
seq_22,0.9305623
seq_23,0.94117504
seq_24,0.8758405
seq_25,0.9083369
seq_26,0.90144235
seq_27,0.88119704
seq_28,0.9034594
seq_29,0.8916419
seq_30,0.8982265
seq_31,0.88102144
seq_32,0.9123622
seq_33,0.8808104
seq_34,0.9043064
seq_35,0.9808997
seq_36,0.9027568
seq_37,0.9026764
seq_38,0.913068
seq_39,0.892522
seq_40,0.91018295
seq_41,0.897913
seq_42,0.813008
seq_43,1.0
seq_44,0.85933924
seq_45,0.898241
seq_46,0.8886236
seq_47,0.9012968
seq_48,0.9035565
seq_49,0.9111804
seq_50,0.8766097
seq_51,0.89647716
seq_52,0.8819074
seq_53,0.9027195
seq_54,0.8173481
seq_55,0.91499776
seq_56,0.90805984
seq_57,0.91248626
seq_58,0.7957527
seq_59,0.9289263
seq_60,0.9298737
seq_61,0.90469354
seq_62,0.87811756
seq_63,0.91045725
seq_64,0.9149614
seq_65,0.9432779
seq_66,0.9431392
seq_67,0.95279765
seq_68,0.93402785
seq_69,0.9544731
seq_70,0.8000019
seq_71,1.0
seq_72,0.9769079
seq_73,0.9579645
seq_74,0.9562986
seq_75,0.9756459
seq_76,0.923041
seq_77,0.9718983
seq_78,0.89236724
seq_79,0.96742016
seq_80,0.9645364
seq_81,0.8606635
seq_82,0.955519
seq_83,0.90229994
seq_84,0.95281076
seq_85,0.956577
seq_86,0.9441589
seq_87,0.9369987
seq_88,0.8403638
seq_89,0.95855683
seq_90,0.94977105
seq_91,0.94300205
seq_92,0.9176596
seq_93,0.9572539
seq_94,0.95493037
seq_95,0.8176369
seq_96,0.9567505
seq_97,0.8365805
seq_98,0.9395822
seq_99,0.93549865
seq_100,0.7336725
seq_101,0.95179564
seq_102,0.7716734
seq_103,0.9354194
seq_104,0.9889718
seq_105,0.94930613
seq_106,0.9493389
seq_107,0.9704392
seq_108,0.9351403
seq_109,0.9430763
seq_110,0.9544514
seq_111,0.9183039
seq_112,0.9356383
seq_113,0.9581374
seq_114,0.95191723
seq_115,0.89913464
seq_116,0.9436248
seq_117,0.9345273
seq_118,0.942087
seq_119,0.9485002
seq_120,0.9169998
seq_121,0.9435706
seq_122,0.95209944
seq_123,0.96011174
seq_124,0.89271694
seq_125,0.9518169
seq_126,0.9694105
seq_127,0.94987714
seq_128,0.95232517
seq_129,0.8731233
seq_130,0.9027728
seq_131,0.90683085
seq_132,0.9504408
seq_133,0.90474063
seq_134,0.9044134
seq_135,0.87832487
seq_136,0.7714433
seq_137,0.8567015
seq_138,0.9360867
seq_139,0.94991827
seq_140,0.7896847
seq_141,0.82880247
seq_142,0.8693683
seq_143,0.87304735
seq_144,0.8680413
seq_145,0.89923686
seq_146,0.94238234
seq_147,0.8546783
seq_148,0.87323767
seq_149,0.88993484
seq_150,0.7365665
seq_151,0.828881
seq_152,0.909102
seq_153,0.91178846
seq_154,0.90083414
seq_155,0.99244285
seq_156,0.8309893
seq_157,0.76359093
seq_158,0.9286193
seq_159,0.88891417
seq_160,0.915831
seq_161,0.90454143
seq_162,0.91411054
seq_163,0.8529515
seq_164,0.910827
seq_165,0.8867985
seq_166,0.88379604
seq_167,0.8984766
seq_168,0.90149355
seq_169,0.8655654
seq_170,0.8295439
seq_171,0.9055123
seq_172,0.89579076
seq_173,0.923263
seq_174,0.89003295
seq_175,0.8842239
seq_176,0.94195306
seq_177,0.8959997
seq_178,0.9038804
seq_179,0.9065912
seq_180,0.89041346
seq_181,0.8376639
seq_182,0.8376805
seq_183,0.9187457
seq_184,0.8931731
seq_185,0.8913335
seq_186,0.89463574
seq_187,0.898473
seq_188,0.8796723
seq_189,0.925862
seq_190,1.0
seq_191,0.89250606
seq_192,0.9374256
seq_193,1.0
seq_194,0.97398025
seq_195,0.99172395
seq_196,0.973853
seq_197,0.98361427
seq_198,0.9632905
seq_199,0.9784346
seq_200,0.9667952
