Sequence_ID,Hybrid_pLDDT_Proxy
seq_1,0.90313447
seq_2,0.8187734
seq_3,0.7673111
seq_4,0.8621242
seq_5,0.78968275
seq_6,0.7865019
seq_7,0.8433089
seq_8,0.81685424
seq_9,0.7897766
seq_10,0.76765656
seq_11,0.73602134
seq_12,0.78972036
seq_13,0.8077927
seq_14,0.79865086
seq_15,0.78499055
seq_16,0.7876322
seq_17,0.8617608
seq_18,0.8106818
seq_19,0.8341309
seq_20,0.7528702
seq_21,0.7325074
seq_22,0.7710366
seq_23,0.82360023
seq_24,0.8180946
seq_25,0.7966342
seq_26,0.775184
seq_27,0.7901204
seq_28,0.75801104
seq_29,0.8658166
seq_30,0.72858644
seq_31,0.7864551
seq_32,0.75558525
seq_33,0.74568844
seq_34,0.9295814
seq_35,0.7408364
seq_36,0.7977715
seq_37,0.749945
seq_38,0.8014801
seq_39,0.79689986
seq_40,0.85017204
seq_41,0.7915957
seq_42,0.76929605
seq_43,0.7639605
seq_44,0.9089831
seq_45,0.75009185
seq_46,0.7853651
seq_47,0.90050715
seq_48,0.8124806
seq_49,0.7836397
seq_50,0.802602
seq_51,0.7659764
seq_52,0.7883708
seq_53,0.7579404
seq_54,0.8450524
seq_55,0.7842946
seq_56,0.79948705
seq_57,0.83191806
seq_58,0.84607756
seq_59,0.7434143
seq_60,0.82287806
seq_61,1.0
seq_62,0.7444816
seq_63,0.8011595
seq_64,0.7971206
seq_65,0.86150473
seq_66,0.84467864
seq_67,0.83400106
seq_68,0.80774695
seq_69,0.97330713
seq_70,0.8556054
seq_71,0.8226255
seq_72,0.88074267
seq_73,0.89190775
seq_74,0.87706465
seq_75,0.7989611
seq_76,0.75393146
seq_77,0.86290836
seq_78,0.83161294
seq_79,0.8374511
seq_80,0.9019584
seq_81,0.8808419
seq_82,0.95630294
seq_83,0.8955597
seq_84,0.85618514
seq_85,0.8256615
seq_86,0.8688185
seq_87,0.84771395
seq_88,0.8570621
seq_89,0.9292216
seq_90,0.87379235
seq_91,0.81946164
seq_92,0.83487636
seq_93,0.84036624
seq_94,0.85847753
seq_95,0.86155283
seq_96,0.88048756
seq_97,0.8749126
seq_98,0.97372264
seq_99,0.9689903
seq_100,0.7310844
seq_101,0.84296155
seq_102,0.84343463
seq_103,0.8638295
seq_104,0.7705946
seq_105,0.77513117
seq_106,0.8914927
seq_107,0.9307144
seq_108,0.8518251
seq_109,0.9409831
seq_110,0.7584146
seq_111,0.8602324
seq_112,0.78688455
seq_113,0.8449777
seq_114,0.8037518
seq_115,0.8700118
seq_116,0.8476148
seq_117,0.8849744
seq_118,1.0
seq_119,0.86929464
seq_120,0.86091256
seq_121,0.96480745
seq_122,0.8896049
seq_123,0.8955802
seq_124,0.8438826
seq_125,0.8224353
seq_126,0.8803329
seq_127,0.88587
seq_128,0.9199887
seq_129,0.8342733
seq_130,0.77252626
seq_131,0.8199844
seq_132,0.91321903
seq_133,0.99361
seq_134,0.8525795
seq_135,0.85053027
seq_136,0.7196556
seq_137,0.7739543
seq_138,0.84726286
seq_139,0.84429455
seq_140,0.8115364
seq_141,0.8458925
seq_142,0.8402829
seq_143,0.85792583
seq_144,0.8324222
seq_145,0.821143
seq_146,0.95951885
seq_147,0.8234765
seq_148,0.83377
seq_149,0.8526924
seq_150,0.83857876
seq_151,0.83615345
seq_152,0.8721919
seq_153,0.89350086
seq_154,0.72091144
seq_155,0.8410726
seq_156,0.8443743
seq_157,0.902636
seq_158,0.85333544
seq_159,0.9689664
seq_160,0.8470549
seq_161,0.7627623
seq_162,0.88025963
seq_163,0.7795459
seq_164,1.0
seq_165,0.8635596
seq_166,0.9038101
seq_167,0.795014
seq_168,0.7831726
seq_169,0.8331654
seq_170,0.8244131
seq_171,0.821367
seq_172,0.8228566
seq_173,0.79489917
seq_174,0.87507397
seq_175,0.8294309
seq_176,0.83663166
seq_177,0.9498244
seq_178,0.8612323
seq_179,0.80756277
seq_180,0.8317305
seq_181,0.85583335
seq_182,0.8235192
seq_183,0.80946064
seq_184,0.7749781
seq_185,0.85851073
seq_186,0.82970047
seq_187,0.84678286
seq_188,0.83638054
seq_189,0.7715873
seq_190,0.82639635
seq_191,0.8215544
seq_192,0.8094002
seq_193,0.78289485
seq_194,1.0
seq_195,0.818459
seq_196,0.8438519
seq_197,0.8154488
seq_198,0.78602344
seq_199,0.83498114
seq_200,0.8024226
